Line #1,,,Line #2,
,,,,
6.05E-01,1.94E+01,,5.92E-01,3.55E+01
7.58E-01,7.43E+01,,6.71E-01,6.13E+01
9.03E-01,1.61E+02,,7.50E-01,9.69E+01
1.11E+00,3.49E+02,,8.29E-01,1.39E+02
1.21E+00,4.52E+02,,9.03E-01,1.84E+02
1.33E+00,5.91E+02,,1.02E+00,2.62E+02
1.40E+00,6.94E+02,,1.09E+00,3.23E+02
1.50E+00,8.20E+02,,1.21E+00,4.33E+02
1.56E+00,9.20E+02,,1.32E+00,5.36E+02
1.61E+00,9.98E+02,,1.43E+00,6.49E+02
1.65E+00,1.05E+03,,1.54E+00,7.75E+02
1.69E+00,1.12E+03,,1.64E+00,9.01E+02
1.72E+00,1.17E+03,,1.73E+00,1.02E+03
1.77E+00,1.25E+03,,1.83E+00,1.14E+03
1.83E+00,1.34E+03,,1.92E+00,1.26E+03
1.91E+00,1.48E+03,,2.01E+00,1.38E+03
1.99E+00,1.61E+03,,2.10E+00,1.51E+03
2.06E+00,1.73E+03,,2.19E+00,1.64E+03
2.15E+00,1.88E+03,,2.28E+00,1.77E+03
2.23E+00,2.02E+03,,2.37E+00,1.90E+03
,,,2.46E+00,2.02E+03
