Line #1,,,Line #2,,,Line #3,,,Line #4,
,,,,,,,,,,
5.66E-01,6.05E+02,,5.66E-01,7.32E+02,,6.98E-01,6.81E+02,,6.98E-01,7.83E+02
6.57E-01,6.50E+02,,7.47E-01,8.31E+02,,8.73E-01,6.91E+02,,8.66E-01,7.93E+02
7.61E-01,6.99E+02,,9.36E-01,9.27E+02,,1.03E+00,7.01E+02,,1.10E+00,8.05E+02
8.52E-01,7.42E+02,,1.13E+00,1.02E+03,,1.20E+00,7.09E+02,,1.34E+00,8.18E+02
9.43E-01,7.85E+02,,1.32E+00,1.12E+03,,1.43E+00,7.22E+02,,1.58E+00,8.31E+02
1.03E+00,8.26E+02,,1.52E+00,1.21E+03,,1.66E+00,7.34E+02,,1.82E+00,8.46E+02
1.12E+00,8.64E+02,,1.73E+00,1.31E+03,,1.86E+00,7.44E+02,,2.07E+00,8.59E+02
1.21E+00,9.02E+02,,1.94E+00,1.40E+03,,2.04E+00,7.55E+02,,2.32E+00,8.74E+02
1.29E+00,9.40E+02,,2.15E+00,1.49E+03,,2.22E+00,7.65E+02,,2.55E+00,8.87E+02
1.38E+00,9.78E+02,,2.36E+00,1.58E+03,,2.40E+00,7.75E+02,,2.79E+00,8.99E+02
1.50E+00,1.03E+03,,2.58E+00,1.67E+03,,2.56E+00,7.83E+02,,3.03E+00,9.12E+02
1.61E+00,1.07E+03,,2.80E+00,1.76E+03,,2.78E+00,7.95E+02,,3.28E+00,9.25E+02
1.75E+00,1.13E+03,,3.02E+00,1.85E+03,,3.00E+00,8.08E+02,,3.51E+00,9.40E+02
1.86E+00,1.17E+03,,3.25E+00,1.94E+03,,3.25E+00,8.21E+02,,3.75E+00,9.53E+02
1.98E+00,1.22E+03,,3.46E+00,2.03E+03,,3.45E+00,8.31E+02,,4.00E+00,9.66E+02
2.09E+00,1.26E+03,,3.69E+00,2.11E+03,,3.67E+00,8.44E+02,,,
2.24E+00,1.32E+03,,4.00E+00,2.23E+03,,3.83E+00,8.54E+02,,,
2.46E+00,1.40E+03,,,,,4.00E+00,8.61E+02,,,
2.66E+00,1.48E+03,,,,,,,,,
2.86E+00,1.55E+03,,,,,,,,,
3.03E+00,1.61E+03,,,,,,,,,
3.26E+00,1.69E+03,,,,,,,,,
3.48E+00,1.77E+03,,,,,,,,,
4.00E+00,1.95E+03,,,,,,,,,
