Line #1,,,Line #2,,,
,,,,,,
1.010333E+00,1.416517E+02,,1.022962E+00,1.617594E+02,,
1.490241E+00,1.357271E+02,,1.553387E+00,1.545781E+02,,
1.982778E+00,1.298025E+02,,2.008037E+00,1.491921E+02,,
2.475316E+00,1.244165E+02,,2.513203E+00,1.434470E+02,,
2.993111E+00,1.190305E+02,,2.980482E+00,1.380610E+02,,
3.473020E+00,1.143627E+02,,3.473020E+00,1.326750E+02,,
3.990815E+00,1.096948E+02,,3.990815E+00,1.274686E+02,,
4.508611E+00,1.053860E+02,,4.495982E+00,1.222621E+02,,
4.963261E+00,1.017953E+02,,5.001148E+00,1.175943E+02,,
5.607348E+00,9.748654E+01,,5.544202E+00,1.131059E+02,,
6.036739E+00,9.461400E+01,,5.998852E+00,1.095153E+02,,
6.529277E+00,9.192101E+01,,6.554535E+00,1.055655E+02,,
7.021814E+00,8.940754E+01,,7.059701E+00,1.025135E+02,,
7.526980E+00,8.689408E+01,,7.628014E+00,9.928187E+01,,
8.019518E+00,8.491921E+01,,8.032147E+00,9.748654E+01,,
8.575201E+00,8.312388E+01,,8.638347E+00,9.551167E+01,,
9.118255E+00,8.150808E+01,,9.156142E+00,9.425494E+01,,
1.000230E+01,8.043088E+01,,9.989667E+00,9.353680E+01,,
1.092423E+01,7.917415E+01,,1.076005E+01,9.281867E+01,,
,,,,,,
